age,gender,activity_type,duration_min,calories_burned,heart_rate_avg,steps,sleep_hours,weight_kg,age_group
67,1,0,7,322,175,3591,7.0,84.3,4
16,0,3,83,265,113,22312,5.7,79.6,0
62,0,0,118,508,98,5418,6.6,88.3,3
56,0,4,75,270,150,19809,7.9,69.0,3
42,2,6,76,308,141,12562,5.0,61.6,2
39,0,1,50,471,163,23432,7.4,98.7,2
61,2,5,88,238,78,14851,6.8,61.8,3
46,0,6,39,133,179,15351,4.5,46.0,2
63,1,4,10,500,82,13072,4.7,72.6,3
27,2,4,100,210,165,22439,6.3,73.7,1
58,2,5,16,256,73,16338,7.3,69.4,3
52,1,6,49,376,102,11601,9.2,82.3,3
39,0,4,74,293,172,24435,3.2,72.7,2
46,0,6,54,563,115,24409,6.7,64.6,2
42,2,1,33,452,85,18362,3.5,37.2,2
39,2,6,36,345,74,19487,8.4,58.0,2
42,1,6,92,158,160,15425,3.3,55.0,2
55,0,0,11,420,109,11349,3.0,62.1,3
68,0,6,119,287,172,18498,3.3,84.4,4
58,0,1,12,152,107,10048,9.4,104.6,3
31,2,4,6,416,102,7594,7.8,97.6,1
19,1,2,68,244,102,21253,6.7,55.4,0
53,1,1,116,151,79,23062,5.9,73.3,3
51,1,3,11,134,118,15191,7.7,91.4,3
69,1,0,9,108,74,24095,5.8,59.2,4
45,0,1,44,308,111,13514,9.0,70.0,2
38,2,6,12,50,152,22404,4.5,75.7,2
27,2,3,54,50,128,2971,3.2,81.6,1
61,0,4,90,146,126,18805,8.2,70.5,3
37,0,1,102,354,90,2868,9.1,68.7,2
18,2,1,18,278,151,12665,3.8,37.6,0
28,0,5,85,211,138,17304,8.9,82.6,1
42,0,6,69,368,104,3733,5.4,73.4,2
66,0,5,92,405,70,6276,7.5,72.0,4
66,0,6,39,205,115,15363,7.2,70.7,4
19,2,5,36,50,117,13377,8.9,94.3,0
66,0,5,88,476,163,19495,8.9,78.7,4
63,2,1,109,50,179,13263,3.6,71.3,3
16,2,2,45,337,63,14571,3.4,56.4,0
66,1,4,96,367,170,7481,3.1,66.7,4
49,2,1,51,208,83,14060,8.1,92.9,2
52,0,6,98,432,165,14201,8.1,63.0,3
32,1,3,40,392,94,9614,9.1,46.1,1
20,2,1,95,460,77,12186,8.5,68.1,0
36,1,5,79,530,127,5597,6.8,77.3,2
56,0,2,34,269,140,12383,6.8,51.7,3
62,1,4,67,230,93,24968,4.8,66.6,3
46,1,0,24,330,134,14863,3.9,85.0,2
17,1,2,21,545,173,5906,5.2,76.4,0
49,1,4,62,322,121,19652,9.4,61.7,2
27,2,4,105,389,68,17788,3.7,84.5,1
66,1,1,71,394,131,10145,5.7,41.5,4
64,1,2,45,84,108,8434,4.6,77.3,3
40,0,6,38,401,167,6688,5.8,65.9,2
42,2,4,119,390,145,18641,8.7,85.3,2
60,1,3,29,504,100,20785,3.0,74.7,3
37,1,2,50,461,61,14982,5.8,105.2,2
43,2,0,41,306,85,23231,8.8,83.5,2
42,0,6,68,406,61,1267,4.1,42.7,2
50,0,3,69,366,157,17523,9.0,83.2,2
54,1,2,42,225,138,18315,7.6,78.9,3
43,0,4,102,289,121,14515,3.3,64.5,2
42,1,5,78,194,88,1872,3.2,77.6,2
54,0,3,66,387,89,12521,6.5,58.0,3
20,1,0,29,226,85,6060,6.8,68.5,0
60,0,2,119,353,165,1281,9.4,78.8,3
68,1,6,81,426,159,370,5.1,87.5,4
63,2,0,38,120,76,16779,8.5,80.4,3
36,0,2,117,389,142,721,6.5,75.1,2
51,0,1,13,192,62,15423,3.3,102.3,3
32,2,3,83,330,168,8432,6.3,53.7,1
60,0,4,116,433,95,16232,6.8,78.1,3
60,1,4,73,224,128,22440,3.6,54.8,3
37,0,4,112,188,102,20883,4.8,82.7,2
44,0,6,19,224,158,15358,6.3,53.5,2
50,1,2,10,427,145,22113,4.3,68.8,2
51,1,2,97,169,144,10749,7.2,67.3,3
31,0,2,70,390,78,17861,3.9,78.6,1
47,1,1,23,443,108,11255,9.4,74.8,2
58,2,2,99,167,178,20214,8.8,66.5,3
68,1,0,91,370,121,16206,9.2,84.2,4
55,2,5,68,431,137,16443,3.0,76.3,3
38,1,1,95,124,105,18334,4.3,51.3,2
48,0,5,25,341,88,16892,8.7,61.8,2
34,0,1,16,317,167,21514,8.2,82.2,1
19,2,5,33,125,143,21400,5.7,61.0,0
58,1,6,20,292,136,23482,4.2,70.3,3
22,2,5,42,351,66,10128,7.9,80.0,1
62,2,0,21,345,62,15211,4.3,51.9,3
47,0,5,46,427,80,18973,7.7,49.0,2
49,0,4,104,313,100,15990,6.5,73.3,2
31,1,6,11,272,119,18301,3.7,67.4,1
63,0,6,108,369,165,24789,5.4,73.4,3
23,2,4,5,376,89,13162,8.4,88.1,1
66,0,6,108,206,63,20934,6.6,74.2,4
59,0,3,79,344,118,5935,8.9,69.6,3
27,0,4,42,50,177,9637,7.7,56.4,1
25,1,0,70,50,62,21683,3.3,58.2,1
61,0,1,112,369,99,5892,8.7,53.1,3
